6th Grade Avarage After Addition,معدل السادس بعد الإضافة,
6th Grade Avarage Before Addition,معدل السادس قبل الإضافة,
A+,A+,
A-,A-,
AB+,AB+,
AB-,AB-,
About,عن,
Accept,قبول,
Accepted,مقبول,
Address,عنوان,
Admission Channel,قناة القبول,
Admission Year,سنة القبول,
Amended From,معدل من,
Any Parent Deceased,وفاة أحد الوالدين,
Applied,تم التقديم,
Apply,تقديم,
Apps,تطبيقات,
Arabic,عربري,
Arabs,عرب,
Armal,ارمل/ة,
Armenians,ارمن,
Assyrians,اشور,
Athletes,رياضيين,
B+,B+,
B-,B-,
Biology,احياء,
Blood Type,فصيلة الدم,
Certificate Number,رقم الشهادة,
Certificate holders,حاملي الشهادة,
Chemestry,كيمياء,
Christian,مسيحي,
Civil ID,بطاقة الاحوال المدنية,
Contact and Adress,الاتصال والعنوان,
Country of Origin,بلد الأصل,
Criminal Conviction,إدانة جنائية,
Date of Birth,تاريخ الميلاد,
Demographics,الخصائص الديمغرافية,
Department,قسم,
Department Name Arabic,اسم القسم بالعربية,
Department Name English,اسم القسم بالإنجليزية,
Deregistration,إلغاء التسجيل,
Disrict,القضاء,
Distinguished,متميز,
District,المنطقة,
Divorced,مطلق/ة,
Document Date,تاريخ الوثيقة,
Document Issuer,مُصدر الوثيقة,
Documents,الوثائق,
Economy,اقتصاد,
Educational Year,السنة الدراسية,
Email,البريد الإلكتروني,
Emergency Contact,جهة الاتصال الطارئة,
Emergency Contact Name,اسم جهة الاتصال الطارئة,
Emergency Email,البريد الإلكتروني الطارئ,
Emergency Phone Number,رقم الهاتف الطارئ,
Employee,موظف,
English,انكليزي,
English Family Name,اسم العائلة بالانكليزي,
English First Name,الاسم الاول بالانكليزي,
English Fourth Name,اسم اب الجد بالانكليزي,
English Second Name,اسم الاب بالانكليزي,
English Third Name,اسم الجد بالانكليزي,
Ethnicity,العرق,
Evening,مسائي,
Exam Number,رقم الامتحان,
Example : 0770 1111 111,مثال: 0770 1111 111,
Expatriates,المغتربين,
Faculty,الكلية,
Faculty Name Arabic,اسم الكلية بالعربية,
Faculty Name English,اسم الكلية بالإنجليزية,
Failed,باءت بالفشل,
Family Name,اسم العائلة,
Family Number,الرقم العائلي,
Father,الأب,
Female,أنثى,
Fifth,الخامس,
Finish Status,حالة الإكمال,
First,الأول,
First Name,الاسم الأول,
Fourth,الرابع,
Fourth Name,الاسم الرابع,
Frappe Support,دعم فرابيه,
French,اللغة الفرنسية,
Gender,جنس,
General channel,القناة العامة,
Geography,الجغراقية,
Graduation,التخرج,
Graduation Province,محافظة التخرج,
Graduation Year,سنة التخرج,
High School Certificate,شهادة الدراسة الإعدادية,
High School Info,معلومات الدراسة الإعدادية,
History,التاريخ,
ID Back,ظهر الهوية,
ID Face,وجة الهوية,
ID Type,نوع الهوية,
Id Number,رقم الهوية,
Information Accepted Successfully,تم قبول المعلومات بنجاح,
Information Applied Successfully,تم تطبيق المعلومات بنجاح,
Information Rejected,تم رفض المعلومات,
Islamics,التربية الاسلامية,
Issue Date,تاريخ الإصدار,
Issuer,المُصدر,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Kurds,كرد,
Literary Branch,الفرع الأدبي,
Log out,تسجيل الخروج,
Main,اساسي,
Main Info,المعلومات الرئيسية,
Male,ذكر,
Mandaeans,مندائية,
Mandaeism,صابئي,
Mark,درجة,
Married,متزوج,
Martyrs,شهداء,
Mathmatics,الرياضيات,
Medical Test,الفحص الطبي,
Morning,صباحي,
Mother,الأم,
Mother First Name,اسم الام الاول,
Mother Second Name,اسم اب الام,
Mother Third Name,اسم جد الام,
Muslim,مسلم,
My Profile,ملفي الشخصي,
My Settings,إعداداتي,
Name,اسم,
National Card,البطاقة الوطنية,
Nationality,الجنسية,
Nationality Arabic Name,اسم الحنسية,
Nationality Back,الجهى اليمنى لبطاقة الجنسية,
Nationality Document,وثيقة الجنسية,
Nationality Face,الجهى اليسرى لبطاقة الجنسية,
No,لا,
Notes,ملاحظات,
O+,O+,
O-,O-,
Ongoing,مستمر,
Other,آخر,
Page Number,رقم الصفحة,
Parent Name,اسم ولي الامر,
Parent Ocupation,وظيفة ولي الامر,
Passed,ناجح,
Pending,معلق,
Phone Number,رقم الهاتف,
Physics,الفيزياء,
Place of Birth,محل الولادة,
Political prisoners,السجناء السياسيين,
Preferred Departments,الأقسام المفضلة,
Province,المحافظة,
QR Code,رمز الاستجابة السريعة,
QR Image,صورة QR,
Ration Card,البطاقة التموينية,
Referral,الإحالة,
Register Number,رقم التسجيل,
Registration Employee,موظف التسجيل,
Registration Manager,مدير التسجيل,
Reject,رفض,
Relation,العلاقة,
Relationship Status,الحالة الزوجية,
Religion,الدين,
Reload,تحديث,
Residance  Number,رقم الإقامة,
Residance Card,بطاقة الإقامة,
Residance Card Issuer,مُصدر بطاقة الإقامة,
Residance Form Number,رقم استمارة الإقامة,
Residance Formation Date,تاريخ إصدار الإقامة,
Residence Card Back,ظهر بطاقة السكن,
Residence Card Face,وجة بطاقة السكن,
Round,الدور,
School Name,اسم المدرسة,
Scientific Branch,الفرع العلمي,
Second,الثاني,
Second Name,الاسم الثاني,
Session Defaults,الجلسة الافتراضية,
Shabaks,شبك,
Single,اعزب,
Sixth,السادس,
Sixth Grade Marks,درجات السادس الاعدادي,
Stage,المرحلة,
Status,الحالة,
Statuses,الحالات,
Student,طالب,
Student Image,صورة الطالب,
Student Study Log,سجل دراسة الطالب,
Students Passing,الطلاب الناجحين,
Students of Kurdistan Region,طلاب إقليم كردستان,
Study Type,نوع الدراسة,
Sub Field,المجال الفرعي,
Subject,موضوع,
Successfully submitted selected students.,تم تقديم الطلاب المحددين بنجاح,
System Manager,مدير النظام,
Teachers,المعلمين,
Telafer University,جامعة تلعفر,
Third,الثالث,
Third Name,الاسم الثالث,
Toggle Full Width,تبديل العرض الكامل,
Toggle Theme,تبديل السمة,
Transfer,نقل,
Turkmen,تركمان,
View Website,مشاهدة الموقع,
Wallet Number,رقم المحفظة,
Yazidis,إيزيديين,
Year,عام,
Yes,نعم,
